Timestamp,Brain Wave Type,Spike Value,Max Value,Ending Value,Average Value,Summary
2018-04-03 10:02:15.702 to 2018-04-03 10:02:17.225,Delta_AF8,0.0035843385796276,0.1220607880397443,0.0018203158481352,0.07856175833841485,"From 2018-04-03 10:02:15.702 to 2018-04-03 10:02:17.225, Delta_AF8 spiked significantly, indicating heightened activity."
2018-04-03 10:02:18.033 to 2018-04-03 10:02:25.064,Delta_AF8,-0.179785407755999,1.200341612249168,-0.0747306178298991,0.7096671554548404,"From 2018-04-03 10:02:18.033 to 2018-04-03 10:02:25.064, Delta_AF8 spiked significantly, indicating heightened activity."
2018-04-03 10:02:25.807 to 2018-04-03 10:02:49.473,Delta_AF8,-0.03397751503981,2.358451082280148,-0.0393110305711259,1.234279790193315,"From 2018-04-03 10:02:25.807 to 2018-04-03 10:02:49.473, Delta_AF8 spiked significantly, indicating heightened activity."
2018-04-03 10:02:50.415 to 2018-04-03 10:02:57.335,Delta_AF8,-0.0232367845511759,1.227756557390718,-0.0805337572403711,0.6110672625719208,"From 2018-04-03 10:02:50.415 to 2018-04-03 10:02:57.335, Delta_AF8 spiked significantly, indicating heightened activity."
2018-04-03 10:02:58.560 to 2018-04-03 10:02:58.888,Delta_AF8,-0.0089378951925351,0.0092674645340602,-0.0059741147175425,0.005967579145575408,"From 2018-04-03 10:02:58.560 to 2018-04-03 10:02:58.888, Delta_AF8 spiked significantly, indicating heightened activity."
2018-04-03 10:03:04.375 to 2018-04-03 10:03:06.472,Delta_AF8,-0.2215768558021921,0.9577322515872494,-0.0741909591432232,0.7474857535904196,"From 2018-04-03 10:03:04.375 to 2018-04-03 10:03:06.472, Delta_AF8 spiked significantly, indicating heightened activity."
2018-04-03 10:03:07.657 to 2018-04-03 10:03:11.680,Delta_AF8,-0.1365572914840702,0.8806852471645141,-0.0526081831730873,0.41991833280126406,"From 2018-04-03 10:03:07.657 to 2018-04-03 10:03:11.680, Delta_AF8 spiked significantly, indicating heightened activity."
2018-04-03 10:03:14.085 to 2018-04-03 10:03:15.084,Delta_AF8,0.0144607060403026,0.0862643422646395,0.0120414039105377,0.06849943930470974,"From 2018-04-03 10:03:14.085 to 2018-04-03 10:03:15.084, Delta_AF8 spiked significantly, indicating heightened activity."
2018-04-03 10:03:20.977 to 2018-04-03 10:03:22.796,Delta_AF8,-0.0478644047903365,0.3313139502152732,-0.0920467060671233,0.23260588456517975,"From 2018-04-03 10:03:20.977 to 2018-04-03 10:03:22.796, Delta_AF8 spiked significantly, indicating heightened activity."
2018-04-03 10:03:26.394 to 2018-04-03 10:03:28.400,Delta_AF8,-0.1198481678152146,0.3225729121101615,-0.0997129304316332,0.2245201787799302,"From 2018-04-03 10:03:26.394 to 2018-04-03 10:03:28.400, Delta_AF8 spiked significantly, indicating heightened activity."
2018-04-03 10:03:40.958 to 2018-04-03 10:03:44.970,Delta_AF8,-0.4900147930890066,1.263289449193868,-0.1577439154938795,0.5904969791554509,"From 2018-04-03 10:03:40.958 to 2018-04-03 10:03:44.970, Delta_AF8 spiked significantly, indicating heightened activity."
