channel,comment
5,Channel 5: Huge fluctuation from 62.30 µV to 113.81 µV at sample 10.
5,Channel 5: Huge fluctuation from 125.22 µV to 74.10 µV at sample 13.
5,Channel 5: Huge fluctuation from 13.80 µV to 66.60 µV at sample 19.
5,Channel 5: Huge fluctuation from 37.19 µV to -14.18 µV at sample 65.
5,Channel 5: Huge fluctuation from 38.15 µV to -13.27 µV at sample 85.
5,Channel 5: Huge fluctuation from 60.86 µV to 111.09 µV at sample 110.
5,Channel 5: Huge fluctuation from 85.50 µV to 35.32 µV at sample 114.
5,Channel 5: Huge fluctuation from 13.65 µV to 66.11 µV at sample 149.
5,Channel 5: Huge fluctuation from 84.66 µV to 33.87 µV at sample 174.
5,Channel 5: Huge fluctuation from 84.64 µV to 33.79 µV at sample 224.
5,Channel 5: Huge fluctuation from 86.65 µV to 32.71 µV at sample 234.
5,Channel 5: Huge fluctuation from 38.76 µV to -14.59 µV at sample 265.
5,Channel 5: Huge fluctuation from 39.40 µV to -14.10 µV at sample 275.
5,Channel 5: Huge fluctuation from 62.28 µV to 113.79 µV at sample 300.
5,Channel 5: Huge fluctuation from 124.12 µV to 73.95 µV at sample 303.
5,Channel 5: Huge fluctuation from 15.67 µV to 65.97 µV at sample 319.
5,Channel 5: Huge fluctuation from 15.30 µV to 65.75 µV at sample 329.
5,Channel 5: Huge fluctuation from 16.29 µV to 66.96 µV at sample 389.
5,Channel 5: Huge fluctuation from 15.89 µV to 67.19 µV at sample 419.
5,Channel 5: Huge fluctuation from 38.90 µV to -11.71 µV at sample 465.
5,Channel 5: Huge fluctuation from 13.76 µV to 65.57 µV at sample 519.
5,Channel 5: Huge fluctuation from 38.53 µV to -12.37 µV at sample 545.
5,Channel 5: Huge fluctuation from 85.78 µV to 34.93 µV at sample 554.
5,Channel 5: Huge fluctuation from 13.57 µV to 64.48 µV at sample 579.
5,Channel 5: Huge fluctuation from 83.54 µV to 33.13 µV at sample 584.
5,Channel 5: Huge fluctuation from 13.82 µV to 63.95 µV at sample 589.
